target_rate,lam,seed,val_loss,val_distortion,val_rate,mi_proxy,prior_mismatch_proxy,decoder_sensitivity,local_decoder_sensitivity,delta_recon_zero
1,0.5,0,86.46752224692816,73.340653045268,27.253738403320312,26.918481826782227,0.1468853503465652,0.1436844915151596,0.0318225771188735,270.21336364746094
1,0.5,1,85.91033462331265,72.40863109540335,28.00340691095666,27.70748519897461,0.1069550812244415,0.1429806649684906,0.0312160905450582,245.88397216796875
1,0.5,2,86.4634806958935,73.44705620294884,27.032849130751213,26.74921226501465,0.1057848557829856,0.1503010690212249,0.0322763472795486,226.86511993408203
1,1.0,0,99.01766098601908,80.47892181782782,19.53873911990395,19.22032165527344,0.1019938290119171,0.1458653211593628,0.0337015427649021,226.41709899902344
1,1.0,1,98.63599347464644,80.10586972779865,19.53012398828434,19.270435333251957,0.1180566772818565,0.1454606503248214,0.0342034101486206,248.31887817382807
1,1.0,2,98.8477986009815,79.88678924946845,19.96100947223132,19.641651153564453,0.1072130724787712,0.1484472453594207,0.0345069244503974,229.2659912109375
1,2.0,0,116.3101017626026,90.4528397185893,13.92863102200665,13.722404479980469,0.100407600402832,0.1482307463884353,0.0350350439548492,224.77869415283203
1,2.0,1,115.6914555030533,89.53283324422715,14.079311165628551,13.809330940246582,0.1076835840940475,0.1424747705459594,0.0340293683111667,226.29150390625
1,2.0,2,116.96179344080672,92.0722724817976,13.444760455360896,13.215968132019045,0.0961145237088203,0.1441662311553955,0.0338658392429351,210.02352142333984
4,0.5,0,84.82514036154446,72.9119023190269,27.82647610917876,27.47073745727539,0.1061368733644485,0.1450179815292358,0.0313630625605583,264.9627456665039
4,0.5,1,85.22523025319546,73.74615464029434,26.958151008509383,26.672271728515625,0.0957663282752037,0.1480371505022049,0.0316672511398792,215.8238067626953
4,0.5,2,84.94727499273759,73.41543284548989,27.06368407720252,26.700927734375,0.1074553728103637,0.1483154743909835,0.031743086874485,222.1929626464844
4,1.0,0,96.61457969568951,81.48931836478317,19.12526130676269,18.880273818969727,0.0981864258646965,0.1511974185705185,0.0348576828837394,258.087158203125
4,1.0,1,95.81396532662308,80.1489150614678,19.665050361729875,19.4221134185791,0.1016660556197166,0.1459917724132537,0.0337962284684181,262.6827621459961
4,1.0,2,95.139779392677,78.84392953220802,20.29585000533092,20.005443572998047,0.1118698120117187,0.1464605629444122,0.0330600589513778,246.6165008544922
4,2.0,0,109.61296941057036,89.60254794736451,14.00521081610571,13.71223258972168,0.085620604455471,0.147952914237976,0.0345206297934055,234.55056762695312
4,2.0,1,109.76282462590858,90.01139541819126,13.875714507284044,13.647939682006836,0.0906177163124084,0.1455256789922714,0.0349571965634822,245.6423797607422
4,2.0,2,109.722851813594,89.52765211274352,14.09759972970697,13.832242965698242,0.0980405807495117,0.1443517953157425,0.033610388636589,234.3383102416992
20,0.5,0,76.27118257933026,71.89714349674273,28.748078479042537,28.43294334411621,0.1542334258556366,0.1464503556489944,0.0311387479305267,257.2048568725586
20,0.5,1,76.41778738287431,71.71331946457488,29.40893559516231,29.0068473815918,0.1224982142448425,0.144043743610382,0.0319266282021999,271.4324951171875
20,0.5,2,76.43389824975895,72.38748540757578,28.092825877515576,27.823192596435547,0.1007178053259849,0.1463918536901474,0.0310410987585783,249.3289337158203
20,1.0,0,79.00771727743027,77.35886614835715,21.64885166023351,21.3054313659668,0.1135555952787399,0.1480816751718521,0.0318788513541221,259.032829284668
20,1.0,1,79.37583855737614,78.03146854835221,21.344370226316816,21.02262687683105,0.1076774150133133,0.1477841734886169,0.032395701855421,237.07537841796875
20,1.0,2,78.99639206898364,77.6902712085579,21.306120957000346,20.965160369873047,0.1214207559823989,0.1447750926017761,0.0307407509535551,245.65625
20,2.0,0,80.55051605610907,79.00377046609226,20.726844860028617,20.23657989501953,0.1028266921639442,0.1465262770652771,0.0318923033773899,234.50226593017575
20,2.0,1,79.94819109952903,78.92212551454955,20.412018570718885,20.09567642211914,0.0836937427520752,0.1466043889522552,0.0325217694044113,248.5612335205078
20,2.0,2,80.50325977953175,79.44797602786294,20.33179628396336,19.96273803710937,0.0905369892716407,0.1471646428108215,0.0314846374094486,227.22830200195312
