case,val_loss,val_distortion,rate_proxy,mi_proxy,prior_mismatch_proxy,delta_recon_zero,decode_change_zero
collapse_kl_large,390.0613202445115,206.05863450448723,184.00271606445312,0.0,184.002685546875,107.4102020263672,0.162747636437416
collapse_kl_zero,205.90800997577136,205.90800997577136,0.0,0.0,0.0,-0.0995330810546875,0.0017934835050255
